readcode,readterm,medcode,disease_new,disease_name_new,disease_number_new
M260z00,Acne varioliformis NOS,54566,Acne,acne,228
M261G00,Acne agminata,43811,Acne,acne,228
M261A00,Pustular acne,4360,Acne,acne,228
M26y200,Giant comedo,9058,Acne,acne,228
M261200,Bromine acne,107861,Acne,acne,228
M260000,Acne frontalis,10183,Acne,acne,228
2FG5.00,Acne scar,17895,Acne,acne,228
M261500,Colloid acne,72243,Acne,acne,228
N25..00,"SAPHO syndrome Synov, Acne, Pustul, Hyperost, Osteomyelitis",25737,Acne,acne,228
M261F00,Acne fulminans,53994,Acne,acne,228
M261300,Chlorine acne,55983,Acne,acne,228
Myu6F00,"[X]Acne, unspecified",33367,Acne,acne,228
M261012,Comedo,15609,Acne,acne,228
M261X00,"Acne, unspecified",25590,Acne,acne,228
M261600,Cystic acne,1654,Acne,acne,228
M261.00,Other acne,4065,Acne,acne,228
M261000,Acne vulgaris,379,Acne,acne,228
M261B00,Steroid acne,32041,Acne,acne,228
M261J00,Acne necrotica,34937,Acne,acne,228
Myu6800,[X]Other acne,52909,Acne,acne,228
M261011,Blackhead,8065,Acne,acne,228
M260z11,Acne necrotica,20164,Acne,acne,228
M261900,Occupational acne,31828,Acne,acne,228
M261100,Acne conglobata,9008,Acne,acne,228
M261400,Iodine acne,67453,Acne,acne,228
M261C00,Tropical acne,21182,Acne,acne,228
M261z00,Other acne NOS,15655,Acne,acne,228
M260.00,Acne varioliformis,48105,Acne,acne,228
7G09800,Cryotherapy to actinic keratosis,99478,Actinic keratosis,actinic_keratosis,229
M226.11,Actinic keratosis,2368,Actinic keratosis,actinic_keratosis,229
M222.00,Senile keratoma,20567,Actinic keratosis,actinic_keratosis,229
M226.00,Solar keratosis,1118,Actinic keratosis,actinic_keratosis,229
E2E1.00,Hyperkinesis with developmental delay,58069,Hyperkinetic disorders,adhd,186
Eu90100,[X]Hyperkinetic conduct disorder,33505,Hyperkinetic disorders,adhd,186
Eu90z00,"[X]Hyperkinetic disorder, unspecified",50015,Hyperkinetic disorders,adhd,186
8BPT.00,Drug therapy ADHD (attention deficit hyperactivity disorder),108002,Hyperkinetic disorders,adhd,186
Eu84400,[X]Overactive disorder assoc mental retard/stereotype movts,52602,Hyperkinetic disorders,adhd,186
E2E..11,Overactive child syndrome,9972,Hyperkinetic disorders,adhd,186
Eu90.00,[X]Hyperkinetic disorders,1458,Hyperkinetic disorders,adhd,186
Eu90z11,[X]Hyperkinetic reaction of childhood or adolescence NOS,97421,Hyperkinetic disorders,adhd,186
E2E2.00,Hyperkinetic conduct disorder,45263,Hyperkinetic disorders,adhd,186
Eu90011,[X]Attention deficit hyperactivity disorder,6519,Hyperkinetic disorders,adhd,186
Eu90y00,[X]Other hyperkinetic disorders,6510,Hyperkinetic disorders,adhd,186
Eu90z12,[X]Hyperkinetic syndrome NOS,96770,Hyperkinetic disorders,adhd,186
9Ngp.00,On drug ther ADHD (attention deficit hyperactivity disorder),107332,Hyperkinetic disorders,adhd,186
E2Ey.00,Other hyperkinetic manifestation,25469,Hyperkinetic disorders,adhd,186
Eu90000,[X]Disturbance of activity and attention,6512,Hyperkinetic disorders,adhd,186
E2E..00,Childhood hyperkinetic syndrome,3775,Hyperkinetic disorders,adhd,186
6A61.00,Attention deficit hyperactivity disorder annual review,101067,Hyperkinetic disorders,adhd,186
E2E0100,Attention deficit with hyperactivity,9715,Hyperkinetic disorders,adhd,186
Eu90111,[X]Hyperkinetic disorder associated with conduct disorder,45799,Hyperkinetic disorders,adhd,186
E2Ez.00,Hyperkinetic syndrome NOS,41769,Hyperkinetic disorders,adhd,186
D400.12,Neutropenia,2071,Agranulocytosis,agranulocytosis,137
42H4.00,Agranulocytosis,21258,Agranulocytosis,agranulocytosis,137
D400200,Agranulocytosis - drug induced,54000,Agranulocytosis,agranulocytosis,137
D400.00,Agranulocytosis,4818,Agranulocytosis,agranulocytosis,137
D400211,Neutropenia - drug induced,35719,Agranulocytosis,agranulocytosis,137
D400A00,Leucopenia,3372,Agranulocytosis,agranulocytosis,137
D400100,Primary splenic neutropenia,96380,Agranulocytosis,agranulocytosis,137
D400411,Neutropenia due to infection,17705,Agranulocytosis,agranulocytosis,137
D400600,Drug-induced neutropenia,30008,Agranulocytosis,agranulocytosis,137
D400800,Acquired neutropenia NEC,49346,Agranulocytosis,agranulocytosis,137
D400811,Acquired agranulocytosis NEC,65903,Agranulocytosis,agranulocytosis,137
D400z00,Agranulocytosis NOS,63055,Agranulocytosis,agranulocytosis,137
D400900,Cyclical neutropenia,32141,Agranulocytosis,agranulocytosis,137
D400000,Idiopathic agranulocytosis,63204,Agranulocytosis,agranulocytosis,137
D400011,Idiopathic neutropenia,18054,Agranulocytosis,agranulocytosis,137
42H2.11,Leucopenia,1955,Agranulocytosis,agranulocytosis,137
42H2.00,Leucopenia - low white count,26325,Agranulocytosis,agranulocytosis,137
D400.11,Kostmann's syndrome,70337,Agranulocytosis,agranulocytosis,137
D400400,Agranulocytosis due to infection,50375,Agranulocytosis,agranulocytosis,137
42J2.00,Neutropenia,4463,Agranulocytosis,agranulocytosis,137
D400y00,Other specified agranulocytosis,64300,Agranulocytosis,agranulocytosis,137
D400312,Neutropenia due to irradiation,40310,Agranulocytosis,agranulocytosis,137
9k1A.00,Brief intervention for excessive alcohol consumptn completed,96053,Alcohol Problems,alc_problems,179
8H7p.00,Referral to community alcohol team,9849,Alcohol Problems,alc_problems,179
8HkG.00,Referral to specialist alcohol treatment service,94553,Alcohol Problems,alc_problems,179
Eu10211,[X]Alcohol addiction,28780,Alcohol Problems,alc_problems,179
E230000,"Acute alcoholic intoxication, unspecified, in alcoholism",40530,Alcohol Problems,alc_problems,179
13Y8.00,Alcoholics anonymous,18156,Alcohol Problems,alc_problems,179
Z191211,Alcohol reduction programme,95181,Alcohol Problems,alc_problems,179
Eu10213,[X]Dipsomania,69691,Alcohol Problems,alc_problems,179
