icd10code,icd10codedescr,disease_new,disease_name_new,disease_number_new
I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",Abdominal aortic aneurysm,aaa,16
I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",Abdominal aortic aneurysm,aaa,16
I71.4,"Abdominal aortic aneurysm, without mention of rupture",Abdominal aortic aneurysm,aaa,16
L70.3,Acne tropica,Acne,acne,228
L70.8,Other acne,Acne,acne,228
L70.9,"Acne, unspecified",Acne,acne,228
L70.0,Acne vulgaris,Acne,acne,228
L70.2,Acne varioliformis,Acne,acne,228
L70.1,Acne conglobata,Acne,acne,228
L57.0,Actinic keratosis,Actinic keratosis,actinic_keratosis,229
F90,Hyperkinetic disorders,Hyperkinetic disorders,adhd,186
I48,Atrial fibrillation and flutter,Atrial fibrillation,af,17
D70,Agranulocytosis,Agranulocytosis,agranulocytosis,137
N17.8,Other acute renal failure,Acute Kidney Injury,aki,102
N17.0,Acute renal failure with tubular necrosis,Acute Kidney Injury,aki,102
N17.2,Acute renal failure with medullary necrosis,Acute Kidney Injury,aki,102
N17.1,Acute renal failure with acute cortical necrosis,Acute Kidney Injury,aki,102
N17.9,"Acute renal failure, unspecified",Acute Kidney Injury,aki,102
F10.7,Mental and behavioural disorders due to use of alcohol - Residual and late-onset psychotic disorder,Alcohol Problems,alc_problems,179
E24.4,Alcohol-induced pseudo-Cushing's syndrome,Alcohol Problems,alc_problems,179
F10.4,Mental and behavioural disorders due to use of alcohol - Withdrawal state with delirium,Alcohol Problems,alc_problems,179
F10.3,Mental and behavioural disorders due to use of alcohol - Withdrawal state,Alcohol Problems,alc_problems,179
K70,Alcoholic liver disease,Alcohol Problems,alc_problems,179
Z50.2,Alcohol rehabilitation,Alcohol Problems,alc_problems,179
I42.6,Alcoholic cardiomyopathy,Alcohol Problems,alc_problems,179
F10.9,Mental and behavioural disorders due to use of alcohol - Unspecified mental and behavioural disorder,Alcohol Problems,alc_problems,179
F10.6,Mental and behavioural disorders due to use of alcohol - Amnesic syndrome,Alcohol Problems,alc_problems,179
F10.5,Mental and behavioural disorders due to use of alcohol - Psychotic disorder,Alcohol Problems,alc_problems,179
G72.1,Alcoholic myopathy,Alcohol Problems,alc_problems,179
G62.1,Alcoholic polyneuropathy,Alcohol Problems,alc_problems,179
K29.2,Alcoholic gastritis,Alcohol Problems,alc_problems,179
Z71.4,Alcohol abuse counselling and surveillance,Alcohol Problems,alc_problems,179
F10.8,Mental and behavioural disorders due to use of alcohol - Other mental and behavioural disorders,Alcohol Problems,alc_problems,179
K85.2,Alcohol-induced acute pancreatitis,Alcohol Problems,alc_problems,179
F10.1,Mental and behavioural disorders due to use of alcohol - Harmful use,Alcohol Problems,alc_problems,179
G31.2,Degeneration of nervous system due to alcohol,Alcohol Problems,alc_problems,179
K86.0,Alcohol-induced chronic pancreatitis,Alcohol Problems,alc_problems,179
F10.2,Mental and behavioural disorders due to use of alcohol - Dependence syndrome,Alcohol Problems,alc_problems,179
J30.3,Other allergic rhinitis,Allergic and chronic rhinitis,allergic_rhinitis,121
J31.0,Chronic rhinitis,Allergic and chronic rhinitis,allergic_rhinitis,121
J30.2,Other seasonal allergic rhinitis,Allergic and chronic rhinitis,allergic_rhinitis,121
J30.4,"Allergic rhinitis, unspecified",Allergic and chronic rhinitis,allergic_rhinitis,121
J30.1,Allergic rhinitis due to pollen,Allergic and chronic rhinitis,allergic_rhinitis,121
L63,Alopecia areata,Alopecia areata,alopecia_areata,230
K60.0,Acute anal fissure,Anal fissure,anal_fissure,54
K60.1,Chronic anal fissure,Anal fissure,anal_fissure,54
K60.2,"Anal fissure, unspecified",Anal fissure,anal_fissure,54
K55.2,Angiodysplasia of colon,Angiodysplasia of colon,angiodysplasia_colon,55
M45,Ankylosing spondylitis,Ankylosing spondylitis,ank_spond,192
A51.1,Primary anal syphilis,Infection of anal and rectal regions,anorectal,158
K61,Abscess of anal and rectal regions,Infection of anal and rectal regions,anorectal,158
A60.9,"Anogenital herpesviral infection, unspecified",Infection of anal and rectal regions,anorectal,158
A63.0,Anogenital (venereal) warts,Infection of anal and rectal regions,anorectal,158
A60.1,Herpesviral infection of perianal skin and rectum,Infection of anal and rectal regions,anorectal,158
A54.6,Gonococcal infection of anus and rectum,Infection of anal and rectal regions,anorectal,158
A56.3,Chlamydial infection of anus and rectum,Infection of anal and rectal regions,anorectal,158
K60.3,Anal fistula,Anorectal fistula,anorectal_fistula,56
K60.5,Anorectal fistula,Anorectal fistula,anorectal_fistula,56
K60.4,Rectal fistula,Anorectal fistula,anorectal_fistula,56
K62.2,Anal prolapse,Anorectal prolapse,anorectal_prolapse,57
K62.3,Rectal prolapse,Anorectal prolapse,anorectal_prolapse,57
H22.1,Iridocyclitis in other diseases classified elsewhere,Anterior and Intermediate Uveitis,ant_uveitis,90
H20.1,Chronic iridocyclitis,Anterior and Intermediate Uveitis,ant_uveitis,90
H20.8,Other iridocyclitis,Anterior and Intermediate Uveitis,ant_uveitis,90
H20.0,Acute and subacute iridocyclitis,Anterior and Intermediate Uveitis,ant_uveitis,90
H22.0,Iridocyclitis in infectious and parasitic diseases classified elsewhere,Anterior and Intermediate Uveitis,ant_uveitis,90
H30.2,Posterior cyclitis,Anterior and Intermediate Uveitis,ant_uveitis,90
H20.9,"Iridocyclitis, unspecified",Anterior and Intermediate Uveitis,ant_uveitis,90
H20.2,Lens-induced iridocyclitis,Anterior and Intermediate Uveitis,ant_uveitis,90
F40,Phobic anxiety disorders,Anxiety disorders,anxiety,181
F41,Other anxiety disorders,Anxiety disorders,anxiety,181
D61,Other aplastic anaemias,Aplastic anaemias,aplastic,138
D60,Acquired pure red cell aplasia [erythroblastopenia],Aplastic anaemias,aplastic,138
K37,Unspecified appendicitis,Appendicitis,appendicitis,58
K36,Other appendicitis,Appendicitis,appendicitis,58
K35,Acute appendicitis,Appendicitis,appendicitis,58
J61,Pneumoconiosis due to asbestos and other mineral fibres,Asbestosis,asbestosis,122
J69.8,Pneumonitis due to other solids and liquids,Aspiration pneumonitis,aspiration_pneumo,123
J69.0,Pneumonitis due to food and vomit,Aspiration pneumonitis,aspiration_pneumo,123
J69.1,Pneumonitis due to oils and essences,Aspiration pneumonitis,aspiration_pneumo,123
J45,Asthma,Asthma,asthma,124
J46,Status asthmaticus,Asthma,asthma,124
F84.5,Asperger's syndrome,Autism and Asperger's syndrome,autism,182
F84.1,Atypical autism,Autism and Asperger's syndrome,autism,182
F84.0,Childhood autism,Autism and Asperger's syndrome,autism,182
