opcs4code,opcs4codedescr,disease_new,disease_name_new,disease_number_new
A651,Carpal tunnel release,Carpal tunnel syndrome,carpal_tunnel,193
A692,Revision of carpal tunnel release,Carpal tunnel syndrome,carpal_tunnel,193
C181,Correction of ptosis of eyelid using levator muscle technique,Ptosis of eyelid,ptosis,97
C182,Correction of ptosis of eyelid using frontalis muscle technique,Ptosis of eyelid,ptosis,97
C183,Correction of ptosis of eyelid using sling of fascia,Ptosis of eyelid,ptosis,97
C184,Correction of ptosis of eyelid using superior rectus muscle technique,Ptosis of eyelid,ptosis,97
C185,Tarsomullerectomy,Ptosis of eyelid,ptosis,97
C186,Correction of ptosis of eyelid using aponeurosis technique,Ptosis of eyelid,ptosis,97
C188,Other specified correction of ptosis of eyelid,Ptosis of eyelid,ptosis,97
C189,Unspecified correction of ptosis of eyelid,Ptosis of eyelid,ptosis,97
C601,Trabeculectomy,Glaucoma,glaucoma,93
C602,Inclusion of iris,Glaucoma,glaucoma,93
C603,Fixation of iris,Glaucoma,glaucoma,93
C604,Iridoplasty NEC,Glaucoma,glaucoma,93
C605,Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour,Glaucoma,glaucoma,93
C606,Viscocanulostomy,Glaucoma,glaucoma,93
C608,Other specified filtering operations on iris,Glaucoma,glaucoma,93
C609,Unspecified filtering operations on iris,Glaucoma,glaucoma,93
C611,Laser trabeculoplasty,Glaucoma,glaucoma,93
C612,Trabeculotomy,Glaucoma,glaucoma,93
C613,Goniotomy,Glaucoma,glaucoma,93
C614,Goniopuncture,Glaucoma,glaucoma,93
C615,Viscogonioplasty,Glaucoma,glaucoma,93
C618,Other specified other operations on trabecular meshwork of eye,Glaucoma,glaucoma,93
C619,Unspecified other operations on trabecular meshwork of eye,Glaucoma,glaucoma,93
C621,Iridosclerotomy,Glaucoma,glaucoma,93
C622,Surgical iridotomy,Glaucoma,glaucoma,93
C623,Laser iridotomy,Glaucoma,glaucoma,93
C624,Correction iridodialysis NEC,Glaucoma,glaucoma,93
C628,Other specified incision of iris,Glaucoma,glaucoma,93
C629,Unspecified incision of iris,Glaucoma,glaucoma,93
C711,Simple linear extraction of lens,Cataract,cataract,91
C712,Phacoemulsification of lens,Cataract,cataract,91
C713,Aspiration of lens,Cataract,cataract,91
C718,Other specified extracapsular extraction of lens,Cataract,cataract,91
C719,Unspecified extracapsular extraction of lens,Cataract,cataract,91
C721,Forceps extraction of lens,Cataract,cataract,91
C722,Suction extraction of lens,Cataract,cataract,91
C723,Cryoextraction of lens,Cataract,cataract,91
C728,Other specified intracapsular extraction of lens,Cataract,cataract,91
C729,Unspecified intracapsular extraction of lens,Cataract,cataract,91
C731,Membranectomy of lens,Cataract,cataract,91
C732,Capsulotomy of anterior lens capsule,Cataract,cataract,91
C733,Capsulotomy of posterior lens capsule,Cataract,cataract,91
C734,Capsulotomy of lens NEC,Cataract,cataract,91
C738,Other specified incision of capsule of lens,Cataract,cataract,91
C739,Unspecified incision of capsule of lens,Cataract,cataract,91
C741,Curettage of lens,Cataract,cataract,91
C742,Discission of cataract,Cataract,cataract,91
C743,Mechanical lensectomy,Cataract,cataract,91
C748,Other specified other extraction of lens,Cataract,cataract,91
C749,Unspecified other extraction of lens,Cataract,cataract,91
C751,Insertion of prosthetic replacement for lens NEC,Cataract,cataract,91
C752,Revision of prosthetic replacement for lens,Cataract,cataract,91
C753,Removal of prosthetic replacement for lens,Cataract,cataract,91
C754,Insertion of prosthetic replacement for lens using suture fixation,Cataract,cataract,91
C758,Other specified prosthesis of lens,Cataract,cataract,91
C759,Unspecified prosthesis of lens,Cataract,cataract,91
C771,Capsulectomy,Cataract,cataract,91
C772,Couching of lens,Cataract,cataract,91
C776,Insertion of capsule tension ring,Cataract,cataract,91
C778,Other specified other operations on lens,Cataract,cataract,91
C779,Unspecified other operations on lens,Cataract,cataract,91
C81,Photocoagulation of retina for detachment,Retinal detachments and breaks,retinal_detach,98
C811,Xenon photocoagulation of retina for detachment,Retinal detachments and breaks,retinal_detach,98
C812,Laser photocoagulation of retina for detachment,Retinal detachments and breaks,retinal_detach,98
C818,Other specified photocoagulation of retina for detachment,Retinal detachments and breaks,retinal_detach,98
C819,Unspecified photocoagulation of retina for detachment,Retinal detachments and breaks,retinal_detach,98
G10,Open operations on varices of oesophagus,Portal hypertension,portal_htn,79
G101,Disconnection of azygos vein,Portal hypertension,portal_htn,79
G102,Transection of oesophagus using staple gun,Portal hypertension,portal_htn,79
G103,Transection of oesophagus NEC,Portal hypertension,portal_htn,79
G104,Local ligation of varices of oesophagus,Portal hypertension,portal_htn,79
G105,Open injection sclerotherapy to varices of oesophagus,Portal hypertension,portal_htn,79
G108,Other specified open operations on varices of oesophagus,Portal hypertension,portal_htn,79
G109,Unspecified open operations on varices of oesophagus,Portal hypertension,portal_htn,79
G174,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope,Portal hypertension,portal_htn,79
G23,Repair of diaphragmatic hernia,Diaphragmatic hernia,hernia_diaphragm,65
G231,Repair of oesophageal hiatus using thoracic approach,Diaphragmatic hernia,hernia_diaphragm,65
G232,Repair of diaphragmatic hernia using thoracic approach NEC,Diaphragmatic hernia,hernia_diaphragm,65
G233,Repair of oesophageal hiatus using abdominal approach,Diaphragmatic hernia,hernia_diaphragm,65
G234,Repair of diaphragmatic hernia using abdominal approach NEC,Diaphragmatic hernia,hernia_diaphragm,65
G238,Other specified repair of diaphragmatic hernia,Diaphragmatic hernia,hernia_diaphragm,65
G239,Unspecified repair of diaphragmatic hernia,Diaphragmatic hernia,hernia_diaphragm,65
G24,Antireflux operations,Gastro-oesophageal reflux disease,gord,69
G241,Antireflux fundoplication using thoracic approach,Gastro-oesophageal reflux disease,gord,69
G242,Antireflux operation using thoracic approach NEC,Gastro-oesophageal reflux disease,gord,69
G243,Antireflux fundoplication using abdominal approach,Gastro-oesophageal reflux disease,gord,69
G244,Antireflux gastropexy,Gastro-oesophageal reflux disease,gord,69
G245,Gastroplasty and antireflux procedure HFQ,Gastro-oesophageal reflux disease,gord,69
G246,Insertion of Angelchick prosthesis,Gastro-oesophageal reflux disease,gord,69
G248,Other specified antireflux operations,Gastro-oesophageal reflux disease,gord,69
G249,Unspecified antireflux operations,Gastro-oesophageal reflux disease,gord,69
G25,Revision of antireflux operations,Gastro-oesophageal reflux disease,gord,69
G251,Revision of fundoplication of stomach,Gastro-oesophageal reflux disease,gord,69
G252,Adjustment to Angelchick prosthesis,Gastro-oesophageal reflux disease,gord,69
G253,Removal of Angelchick prosthesis,Gastro-oesophageal reflux disease,gord,69
G258,Other specified revision of antireflux operations,Gastro-oesophageal reflux disease,gord,69
G259,Unspecified revision of antireflux operations,Gastro-oesophageal reflux disease,gord,69
G35,Operations on ulcer of stomach,Peptic ulcer disease,ulcer_peptic,77
G351,Closure of perforated ulcer of stomach,Peritonitis,peritonitis,78
