icd10code,disease_new,disease_name_new,disease_number_new
C502,Breast cancer,breast_cancer,7
D051,Breast cancer,breast_cancer,7
C508,Breast cancer,breast_cancer,7
D059,Breast cancer,breast_cancer,7
C504,Breast cancer,breast_cancer,7
C501,Breast cancer,breast_cancer,7
D057,Breast cancer,breast_cancer,7
C500,Breast cancer,breast_cancer,7
C503,Breast cancer,breast_cancer,7
C506,Breast cancer,breast_cancer,7
C509,Breast cancer,breast_cancer,7
C505,Breast cancer,breast_cancer,7
D050,Breast cancer,breast_cancer,7
C510,Gynaecological cancer,gynaecological_cancer,8
C572,Gynaecological cancer,gynaecological_cancer,8
D061,Gynaecological cancer,gynaecological_cancer,8
C531,Gynaecological cancer,gynaecological_cancer,8
C543,Gynaecological cancer,gynaecological_cancer,8
D060,Gynaecological cancer,gynaecological_cancer,8
C577,Gynaecological cancer,gynaecological_cancer,8
C518,Gynaecological cancer,gynaecological_cancer,8
C540,Gynaecological cancer,gynaecological_cancer,8
C55,Gynaecological cancer,gynaecological_cancer,8
C539,Gynaecological cancer,gynaecological_cancer,8
C530,Gynaecological cancer,gynaecological_cancer,8
C542,Gynaecological cancer,gynaecological_cancer,8
C511,Gynaecological cancer,gynaecological_cancer,8
D069,Gynaecological cancer,gynaecological_cancer,8
C549,Gynaecological cancer,gynaecological_cancer,8
C574,Gynaecological cancer,gynaecological_cancer,8
C512,Gynaecological cancer,gynaecological_cancer,8
C579,Gynaecological cancer,gynaecological_cancer,8
C56,Gynaecological cancer,gynaecological_cancer,8
C573,Gynaecological cancer,gynaecological_cancer,8
C548,Gynaecological cancer,gynaecological_cancer,8
D067,Gynaecological cancer,gynaecological_cancer,8
C541,Gynaecological cancer,gynaecological_cancer,8
C571,Gynaecological cancer,gynaecological_cancer,8
C519,Gynaecological cancer,gynaecological_cancer,8
C570,Gynaecological cancer,gynaecological_cancer,8
C538,Gynaecological cancer,gynaecological_cancer,8
C578,Gynaecological cancer,gynaecological_cancer,8
C920,Haematological cancer,haematological_cancer,9
C844,Haematological cancer,haematological_cancer,9
C830,Haematological cancer,haematological_cancer,9
C822,Haematological cancer,haematological_cancer,9
C832,Haematological cancer,haematological_cancer,9
C957,Haematological cancer,haematological_cancer,9
C942,Haematological cancer,haematological_cancer,9
C923,Haematological cancer,haematological_cancer,9
C940,Haematological cancer,haematological_cancer,9
C839,Haematological cancer,haematological_cancer,9
C911,Haematological cancer,haematological_cancer,9
C887,Haematological cancer,haematological_cancer,9
C834,Haematological cancer,haematological_cancer,9
C810,Haematological cancer,haematological_cancer,9
C921,Haematological cancer,haematological_cancer,9
C967,Haematological cancer,haematological_cancer,9
C960,Haematological cancer,haematological_cancer,9
C912,Haematological cancer,haematological_cancer,9
C813,Haematological cancer,haematological_cancer,9
C812,Haematological cancer,haematological_cancer,9
C883,Haematological cancer,haematological_cancer,9
C963,Haematological cancer,haematological_cancer,9
C820,Haematological cancer,haematological_cancer,9
C901,Haematological cancer,haematological_cancer,9
C932,Haematological cancer,haematological_cancer,9
C811,Haematological cancer,haematological_cancer,9
C819,Haematological cancer,haematological_cancer,9
C902,Haematological cancer,haematological_cancer,9
C917,Haematological cancer,haematological_cancer,9
